iter	Passed	Remaining
1278	42449	123498
1279	42486	123477
1280	42518	123440
1281	42556	123420
1282	42589	123385
1283	42624	123358
1284	42653	123313
1285	42690	123290
1286	42719	123244
1287	42751	123209
1288	42786	123182
1289	42818	123144
1290	42854	123119
1291	42881	123068
1292	42914	123034
1293	42944	122991
1294	42981	122971
1295	43011	122928
1296	43043	122889
1297	43077	122860
1298	43105	122812
1299	43141	122786
1300	43175	122755
1301	43204	122711
1302	43240	122685
1303	43275	122658
1304	43310	122630
1305	43339	122586
1306	43373	122554
1307	43408	122525
1308	43442	122495
1309	43476	122464
1310	43503	122413
1311	43535	122378
1312	43572	122354
1313	43607	122327
1314	43642	122297
1315	43678	122272
1316	43712	122242
1317	43742	122201
1318	43776	122169
1319	43806	122127
1320	43842	122102
1321	43875	122068
1322	43908	122034
1323	43940	121997
1324	43968	121949
1325	44000	121912
1326	44030	121871
1327	44064	121842
1328	44103	121823
1329	44138	121795
1330	44169	121756
1331	44202	121722
1332	44234	121687
1333	44268	121656
1334	44306	121634
1335	44341	121608
1336	44375	121577
1337	44411	121551
1338	44446	121523
1339	44474	121475
1340	44504	121434
1341	44538	121402
1342	44573	121374
1343	44605	121337
1344	44641	121312
1345	44676	121283
1346	44712	121257
1347	44746	121226
1348	44778	121190
1349	44809	121151
1350	44835	121098
1351	44866	121059
1352	44903	121037
1353	44935	121000
1354	44969	120969
1355	45001	120933
1356	45031	120891
1357	45068	120869
1358	45093	120812
1359	45128	120784
1360	45160	120747
1361	45190	120707
1362	45224	120675
1363	45257	120641
1364	45284	120592
1365	45317	120560
1366	45353	120532
1367	45380	120485
1368	45413	120450
1369	45448	120420
1370	45476	120375
1371	45509	120340
1372	45543	120311
1373	45579	120283
1374	45615	120258
1375	45648	120224
1376	45676	120179
1377	45714	120157
1378	45750	120131
1379	45785	120104
1380	45820	120076
1381	45856	120049
1382	45892	120024
1383	45927	119995
1384	45960	119962
1385	45995	119932
1386	46029	119901
1387	46063	119872
1388	46095	119835
1389	46128	119801
1390	46163	119773
1391	46196	119740
1392	46230	119707
1393	46264	119677
1394	46293	119633
1395	46330	119610
1396	46374	119605
1397	46409	119575
1398	46438	119531
1399	46471	119498
1400	46504	119465
1401	46543	119446
1402	46577	119414
1403	46617	119400
1404	46656	119381
1405	46695	119361
1406	46736	119348
1407	46779	119340
1408	46814	119311
1409	46851	119288
1410	46890	119271
1411	46928	119248
1412	46964	119223
1413	47001	119198
1414	47039	119177
1415	47075	119151
1416	47112	119126
1417	47145	119092
1418	47181	119068
1419	47211	119025
1420	47252	119011
1421	47288	118985
1422	47322	118953
1423	47353	118915
1424	47383	118873
1425	47412	118830
1426	47442	118789
1427	47471	118746
1428	47507	118718
1429	47538	118680
1430	47573	118651
1431	47610	118627
1432	47648	118605
1433	47683	118576
1434	47713	118535
1435	47746	118502
1436	47778	118464
1437	47806	118419
1438	47833	118369
1439	47866	118337
1440	47902	118309
1441	47937	118281
1442	47965	118235
1443	47994	118192
1444	48025	118152
1445	48058	118118
1446	48094	118093
1447	48125	118054
1448	48161	118026
1449	48191	117987
1450	48222	117947
1451	48253	117908
1452	48283	117867
1453	48313	117825
1454	48347	117795
1455	48380	117760
1456	48414	117730
1457	48445	117690
1458	48475	117651
1459	48510	117622
1460	48541	117582
1461	48575	117551
1462	48611	117525
1463	48646	117494
1464	48679	117461
1465	48712	117428
1466	48743	117390
1467	48774	117351
1468	48807	117316
1469	48838	117280
1470	48869	117239
1471	48905	117214
1472	48937	117177
1473	48970	117144
1474	49004	117111
1475	49040	117085
1476	49073	117052
1477	49108	117024
1478	49143	116995
1479	49176	116961
1480	49202	116910
1481	49232	116869
1482	49269	116844
1483	49304	116815
1484	49340	116789
1485	49370	116748
1486	49403	116715
1487	49440	116689
1488	49475	116660
1489	49504	116617
1490	49542	116596
1491	49579	116572
1492	49607	116526
1493	49646	116505
1494	49684	116483
1495	49718	116452
1496	49751	116419
1497	49780	116376
1498	49813	116343
1499	49849	116314
1500	49884	116287
1501	49923	116265
1502	49960	116241
1503	49995	116213
1504	50033	116190
1505	50070	116166
1506	50106	116139
1507	50141	116109
1508	50173	116073
1509	50214	116057
1510	50243	116014
1511	50271	115970
1512	50303	115934
1513	50337	115902
1514	50373	115875
1515	50406	115842
1516	50440	115811
1517	50476	115783
1518	50512	115757
1519	50548	115728
1520	50584	115701
1521	50619	115672
1522	50657	115650
1523	50694	115624
1524	50729	115596
1525	50757	115551
1526	50788	115512
1527	50819	115473
1528	50853	115443
1529	50890	115418
1530	50925	115390
1531	50962	115363
1532	50995	115330
1533	51026	115292
1534	51059	115258
1535	51092	115223
1536	51124	115188
1537	51156	115152
1538	51182	115103
1539	51214	115067
1540	51244	115026
1541	51277	114992
1542	51308	114953
1543	51341	114919
1544	51374	114885
1545	51402	114841
1546	51431	114797
1547	51468	114773
1548	51504	114747
1549	51537	114712
1550	51571	114680
1551	51597	114631
1552	51627	114591
1553	51661	114558
1554	51691	114519
1555	51726	114490
1556	51758	114453
1557	51789	114414
1558	51820	114378
1559	51849	114334
1560	51879	114293
1561	51915	114267
1562	51951	114240
1563	51987	114212
1564	52018	114174
1565	52052	114142
1566	52086	114110
1567	52116	114072
1568	52148	114036
1569	52179	113997
1570	52211	113960
1571	52245	113930
1572	52280	113900
1573	52313	113865
1574	52338	113815
1575	52372	113783
1576	52409	113758
1577	52443	113726
1578	52476	113692
1579	52518	113679
1580	52549	113641
1581	52583	113610
1582	52616	113575
1583	52646	113535
1584	52674	113490
1585	52718	113480
1586	52754	113452
1587	52783	113411
1588	52817	113380
1589	52850	113346
1590	52880	113305
1591	52917	113280
1592	52948	113243
1593	52981	113209
1594	53011	113169
1595	53044	113134
1596	53074	113095
1597	53112	113072
1598	53145	113037
1599	53180	113008
1600	53214	112977
1601	53248	112945
1602	53281	112912
1603	53318	112886
1604	53353	112857
1605	53391	112832
1606	53424	112799
1607	53455	112762
1608	53492	112735
1609	53529	112711
1610	53557	112666
1611	53586	112625
1612	53615	112582
1613	53647	112547
1614	53679	112510
1615	53710	112473
1616	53740	112433
1617	53775	112404
1618	53804	112360
1619	53832	112318
1620	53870	112294
1621	53900	112253
1622	53937	112229
1623	53971	112196
1624	54006	112167
1625	54038	112132
1626	54075	112106
1627	54106	112068
1628	54136	112027
1629	54174	112003
1630	54205	111967
1631	54237	111932
1632	54271	111900
1633	54306	111870
1634	54337	111832
1635	54371	111801
1636	54401	111759
1637	54434	111726
1638	54468	111694
1639	54498	111654
1640	54528	111615
1641	54561	111581
1642	54591	111541
1643	54626	111511
1644	54654	111467
1645	54683	111426
1646	54716	111393
1647	54748	111356
1648	54789	111340
1649	54828	111318
1650	54862	111286
1651	54894	111251
1652	54928	111218
1653	54963	111188
1654	54996	111156
1655	55029	111122
1656	55060	111085
1657	55092	111049
1658	55126	111016
1659	55158	110981
1660	55192	110948
1661	55222	110910
1662	55253	110873
1663	55282	110829
